character_id,move_id,button,startup,active,recovery,invincible_frames,damage,special_gauge_cost,super_gauge_gain,guard_bleak,starter_proration,range_x,range_y,self_move_x,self_move_y,knockback_x,knockback_y,guard_knockback_x,guard_self_knockback_x,hitstun,guard_stun,animation,attack_type,projectile_speed,projectile_lifetime,use_state,attack_level,projectile_id,command_id,cancel_into
crocodile_soldier,takenoko,special,13,7,25,0,1500,10,10,false,0,0,0,0,0,720,260,240,0,30,15,special,projectile,1000,110,ground,mid,takenoko,tatumaki,
stickMan,fire,special,10,2,22,4,1500,25,25,false,0,0,0,0,0,720,200,240,0,20,10,special,projectile,200,240,ground,mid,fire_orb,tatumaki,
blender_hero,gowasu,special,9,56,10,9,1600,15,15,false,20,60,1000,2600,100,0,0,500,0,60,20,special,melee,0,0,ground,mid,,charge
all,light,light,4,6,10,0,300,0,0,false,-20,60,54,-50,0,250,0,80,0,5,2,light,melee,0,0,ground,mid,,,light|heavy|special
all,heavy,heavy,10,8,18,0,800,0,0,false,0,80,64,-50,0,490,480,160,0,5,2,heavy,melee,0,0,ground,high,,,heavy|special
all,special,special,18,6,25,0,1100,15,15,false,0,80,76,-50,0,690,720,230,0,5,2,special,melee,0,0,ground,low,,,
all,throw,throw,10,1,4,0,1000,0,0,true,0,34,30,0,0,150,900,0,0,18,9,heavy,melee,0,0,ground,mid,,,
all,hadoken,special,9,2,27,0,1000,5,5,false,0,0,0,0,0,390,240,130,0,30,15,special,projectile,720,110,ground,mid,hadoken_blue,hadoken,
all,shoryuken,special,4,10,33,25,1800,25,25,false,10,92,128,360,1000,640,620,210,0,40,20,special,melee,0,0,ground,high,,syouryu,
all,da,heavy,8,2,27,0,400,0,0,false,-10,90,60,450,0,560,520,180,0,10,5,heavy,melee,0,0,ground,mid,,da,heavy|special
all,air_light,light,3,4,12,0,200,0,0,false,0,74,86,0,0,260,180,80,0,5,2,light,melee,0,0,air,high,,,light|heavy|special
all,air_heavy,heavy,7,4,20,0,500,0,0,false,0,100,104,0,0,500,340,170,0,5,2,heavy,melee,0,0,air,high,,,heavy|special
all,air_hadoken,special,9,2,27,0,700,5,5,false,0,0,0,0,0,390,240,130,0,30,15,special,projectile,720,110,air,mid,hadoken_blue,hadoken,
